Name,Covariance,Free,Maximum,Minimum,Unit,Value
adjeas.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),25000.0
adjeas.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.14490018566982399
adjeas.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.14561425486702501
adjwes.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),23638.960951517802
adjwes.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.86407806918913099
adjwes.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.050000000000000003
eas.c_int,0.02,True,300000.0,50000.0,J/(m2.K),87081.301980431002
eas.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2000.00010231393
eas.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.119037861512857
exteas.abs,0.02,True,1.0,0.0,1,1.0
exteas.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
exteas.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.29999999999999999
exteas.r_zon,0.02,True,3.0,1.0,(m2.K)/W,1.97092904086358
extwes.abs,0.02,True,1.0,0.0,1,0.999999996856484
extwes.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
extwes.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.29999999999999999
extwes.r_zon,0.02,True,3.0,1.0,(m2.K)/W,2.4014685529241202
hal.c_int,0.02,True,150000.0,50000.0,J/(m2.K),50000.0
hal.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2999.9999338388302
hal.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.40000000000000002
lat,,False,,,deg,41.980000000000004
wes.c_int,0.02,True,300000.0,50000.0,J/(m2.K),72860.489786186299
wes.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),3000.0
wes.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.146159661474528
wineas.g,0.02,True,1.0,0.0,1,0.27217707498170102
wineas.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.58628921503952702
winwes.g,0.02,True,1.0,0.0,1,0.123665554500434
winwes.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.74593114255479798
