Name,Covariance,Free,Maximum,Minimum,Unit,Value
adjeas.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),24999.999996330898
adjeas.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.14508416813743599
adjeas.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.145586411379175
adjwes.c_bou,0.02,True,25000.0,5000.0,J/(m2.K),23624.3211391554
adjwes.r_adj,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.86363483501389404
adjwes.r_zon,0.02,True,0.90000000000000002,0.050000000000000003,(m2.K)/W,0.050000000000000003
eas.c_int,0.02,True,300000.0,50000.0,J/(m2.K),87195.407202040296
eas.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2000.0003981939899
eas.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.11888027840465901
exteas.abs,0.02,True,1.0,0.0,1,0.99999998958992498
exteas.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
exteas.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.29999999999999999
exteas.r_zon,0.02,True,3.0,1.0,(m2.K)/W,1.9704047688142901
extwes.abs,0.02,True,1.0,0.0,1,0.999999966737386
extwes.c_bou,0.02,True,40000.0,5000.0,J/(m2.K),40000.0
extwes.r_out,0.02,True,0.29999999999999999,0.050000000000000003,(m2.K)/W,0.29999999999999999
extwes.r_zon,0.02,True,3.0,1.0,(m2.K)/W,2.3716988543115498
hal.c_int,0.02,True,150000.0,50000.0,J/(m2.K),50000.0
hal.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2999.9997098417698
hal.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.40000000000000002
lat,,False,,,deg,41.980000000000004
wes.c_int,0.02,True,300000.0,50000.0,J/(m2.K),73023.810512490294
wes.c_zon,0.02,True,3000.0,2000.0,J/(m2.K),2999.9999881444701
wes.r_int,0.02,True,0.40000000000000002,0.050000000000000003,(m2.K)/W,0.14563121264163201
wineas.g,0.02,True,1.0,0.0,1,0.27246872859066301
wineas.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.58600536755590105
winwes.g,0.02,True,1.0,0.0,1,0.124253433002936
winwes.r_win,0.02,True,0.80000000000000004,0.10000000000000001,(m2.K)/W,0.74529917798582601
