Time,intRad_wes,intCon_wes,intLat_wes,intRad_hal,intCon_hal,intLat_hal,intRad_eas,intLat_eas,intCon_eas
0,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
1200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
1500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
1800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
2100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
2400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
2700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
3000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
3300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
3600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
3900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
4200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
4500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
4800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
5100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
5400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
5700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
6000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
6300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
6600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
6900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
7200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
7500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
7800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
8100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
8400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
8700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
9000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
